PROVIDER NAME,TOTAL_COST,UNIQUE_VISITS,UNIQUE_MEMBERS,TOTAL_CLAIMS,AVG_COST_PER_VISIT,RISK_SCORE
MEDICATIA HOSPITAL - NAROK NORTH,6720.0,2,2,2,3360.0,0.1905720338983051
MEDINA HOSPITAL,1955486.75,189,105,193,10346.49074074074,0.8381355932203389
MEDINA MEDICARE HOSPITAL LIMITED - HOLA,6350.0,1,1,1,6350.0,0.2708686440677966
MEGALIFE HOSPITAL LTD,70987.25,9,7,9,7887.472222222223,0.5283898305084747
MEPHI HEALTH SERVICES,1087617.5,103,41,104,10559.393203883496,0.8146186440677967
MEPHI HEALTH SERVICES - HINDI,126550.0,12,6,12,10545.833333333334,0.6230932203389831
MERCY MISSION HOSPITAL,91560.0,37,21,37,2474.5945945945946,0.4272245762711865
METROPOLITAN HOSPITAL,1507721.92,194,81,413,7771.7624742268035,0.7637711864406779
MITUNGUU HOSPITAL,11036.25,3,3,4,3678.75,0.26927966101694917
MOI REFERRAL  PRIVATE WING,3275638.39,112,70,116,29246.771339285715,0.9332627118644068
MONALIFE PHARMACEUTICAL LTD,12129109.7,422,315,428,28741.966113744074,0.9650423728813559
MONALIFE PHARMACY LIMITED - MAKADARA,2309097.9,117,87,118,19735.879487179485,0.9145127118644067
MOTHER ANGELA HURUMA HOSPITAL,1285433.3,283,123,289,4542.167137809188,0.6514830508474576
MOYALE DOCTORS PLAZA,249720.0,33,18,33,7567.272727272727,0.6521186440677966
MP SHAH HOSPITAL,135000.0,1,1,1,135000.0,0.5272245762711864
MUTHALE MISSION HOSPITAL HQ,51461.75,8,6,8,6432.71875,0.4734110169491525
MUTHALE MISSION SATELLITE,33664.5,12,8,12,2805.375,0.3358050847457627
MUTOMO MISSION HOSPITAL,36880.0,9,7,11,4097.777777777777,0.39862288135593216
MWINGI SPECIALIST HOSPITAL,884466.25,80,35,81,11055.828125,0.8114406779661016
NAIROBI REGIONAL HOSPITAL - KAHAWA BARRACKS,9551681.01,769,358,789,12420.911586475942,0.8913135593220339
NAIROBI WEST HOSPITAL - RUIRU,104505.9,14,6,14,7464.707142857143,0.5346398305084746
NAIROBI WOMENS HOSPITAL - ADAMS ARCADE,308564.66,24,6,28,12856.860833333332,0.7143008474576271
NAIROBI WOMENS HOSPITAL - HURLINGHAM,103431.82,16,11,17,6464.48875,0.5597457627118644
NAIROBI WOMENS HOSPITAL - KITENGELA,474269.9,36,24,37,13174.16388888889,0.8045550847457628
NAIROBI WOMENS HOSPITAL - NAKURU,256986.33000000002,19,14,19,13525.596315789475,0.745656779661017
NAIROBI WOMENS HOSPITAL - NAKURU CBD,333791.08999999997,24,18,24,13907.962083333332,0.7807203389830508
NAIROBI WOMENS HOSPITAL-MOMBASA BRANCH,33891.53,7,4,7,4841.647142857143,0.37828389830508474
NAMO HOSPITAL - EQUITY STREET LODWAR,191332.25,23,17,23,8318.79347826087,0.6536016949152541
NANYUKI COTTAGE HOSPITAL,4485644.0,271,115,281,16552.191881918818,0.923728813559322
NANYUKI COTTAGE HOSPITAL - TOWN,142582.0,17,15,19,8387.176470588236,0.6414194915254238
NORTHERN SPECIALISTS HOSPITAL,278200.0,3,1,3,92733.33333333333,0.5784957627118644
NYANGENA HOSPITAL,1288034.5,72,44,72,17889.368055555555,0.886864406779661
OASIS MENTAL HEALTH LTD,287637.5,11,5,11,26148.863636363636,0.7054025423728814
OMEGA OPTICIANS -  EMPEROR PLAZA,32250.0,2,2,2,16125.0,0.5284957627118644
OMEGA OPTICIANS - 20TH CENTURY,85837.5,9,8,9,9537.5,0.5841101694915255
OMEGA OPTICIANS - AGRO HOUSE,33750.0,3,3,3,11250.0,0.5049788135593221
OMEGA OPTICIANS - AMBALAL,75675.0,8,8,8,9459.375,0.5738347457627119
OMEGA OPTICIANS - COUNTRY MALL,24075.0,3,2,3,8025.0,0.40031779661016953
OMEGA OPTICIANS - ELDORET,180112.5,16,16,21,11257.03125,0.7228813559322034
OMEGA OPTICIANS - HURLINGHAM,76951.0,8,7,8,9618.875,0.5721398305084746
OMEGA OPTICIANS - KAREN SQUARE,20625.0,2,2,2,10312.5,0.44692796610169494
OMEGA OPTICIANS - KIAMBU,13875.0,1,1,1,13875.0,0.44671610169491527
OMEGA OPTICIANS - KISII,23552.0,2,2,6,11776.0,0.5382415254237288
OMEGA OPTICIANS - KITENGELA,17700.0,1,1,1,17700.0,0.4784957627118644
OMEGA OPTICIANS - MERU,24825.0,2,2,2,12412.5,0.48294491525423733
OMEGA OPTICIANS - NAKURU,114150.0,10,10,10,11415.0,0.6518008474576271
OMEGA OPTICIANS - NAKURU MERICA,42150.0,4,4,4,10537.5,0.5283898305084745
OMEGA OPTICIANS - RONALD NGALA STREET,10650.0,1,1,1,10650.0,0.40010593220338986
